"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2019","2,168.00","2,419.00","2,424.00","2,161.00","","-1.86%"
"01/01/2019","2,209.00","2,451.00","2,453.00","2,203.00","277.70K","-8.57%"
"12/03/2018","2,416.00","2,208.00","2,439.00","2,095.00","","-1.35%"
"12/01/2018","2,449.00","2,208.00","2,464.00","2,095.00","240.19K","11.17%"
"11/01/2018","2,203.00","2,235.00","2,410.00","2,104.00","","0.00%"
"11/01/2018","2,203.00","2,253.00","2,410.00","2,104.00","521.90K","-1.39%"
"10/01/2018","2,234.00","2,053.00","2,281.00","1,982.00","","-0.84%"
"10/01/2018","2,253.00","2,081.00","2,284.00","2,008.00","301.65K","9.53%"
"09/04/2018","2,057.00","2,285.00","2,372.00","2,053.00","","-1.20%"
"09/01/2018","2,082.00","2,285.00","2,372.00","2,079.00","263.37K","-10.87%"
"08/01/2018","2,336.00","2,156.00","2,397.00","2,035.00","","0.00%"
"08/01/2018","2,336.00","2,210.00","2,397.00","2,100.00","502.94K","7.65%"
"07/02/2018","2,170.00","2,512.00","2,594.00","2,152.00","","-2.25%"
"07/01/2018","2,220.00","2,512.00","2,594.00","2,203.00","361.29K","-11.62%"
"06/01/2018","2,512.00","2,450.00","2,562.00","2,253.00","","0.00%"
"06/01/2018","2,512.00","2,508.00","2,562.00","2,320.00","558.22K","2.36%"
"05/01/2018","2,454.00","2,812.00","2,906.00","2,444.00","","-2.11%"
"05/01/2018","2,507.00","2,812.00","2,906.00","2,504.00","367.32K","-11.26%"
"04/02/2018","2,825.00","2,592.00","2,943.00","2,433.00","","0.00%"
"04/01/2018","2,825.00","2,602.00","2,943.00","2,474.00","555.75K","10.52%"
"03/01/2018","2,556.00","2,210.00","2,643.00","2,196.00","","-1.08%"
"03/01/2018","2,584.00","2,210.00","2,669.00","2,196.00","407.23K","16.50%"
"02/01/2018","2,218.00","1,997.00","2,234.00","1,986.00","","0.00%"
"02/01/2018","2,218.00","2,017.00","2,234.00","1,991.00","513.14K","11.12%"
"01/02/2018","1,996.00","1,900.00","2,012.00","1,836.00","","-1.19%"
"01/01/2018","2,020.00","1,900.00","2,034.00","1,840.00","263.74K","6.77%"
"12/01/2017","1,892.00","2,045.00","2,049.00","1,804.00","","-0.05%"
"12/01/2017","1,893.00","2,045.00","2,049.00","1,812.00","306.52K","-7.61%"
"11/01/2017","2,049.00","2,089.00","2,226.00","2,035.00","","0.00%"
"11/01/2017","2,049.00","2,082.00","2,226.00","2,032.00","491.53K","-2.15%"
"10/02/2017","2,094.00","2,044.00","2,160.00","1,984.00","","0.24%"
"10/01/2017","2,089.00","2,033.00","2,148.00","1,980.00","307.73K","2.25%"
"09/01/2017","2,043.00","1,924.00","2,057.00","1,888.00","","0.44%"
"09/01/2017","2,034.00","1,924.00","2,047.00","1,888.00","261.36K","5.61%"
"08/01/2017","1,926.00","2,081.00","2,090.00","1,830.00","","0.00%"
"08/01/2017","1,926.00","2,101.00","2,116.00","1,830.00","544.90K","-6.50%"
"07/03/2017","2,060.00","1,968.00","2,082.00","1,791.00","","-1.29%"
"07/01/2017","2,087.00","1,968.00","2,107.00","1,791.00","326.90K","7.58%"
"06/01/2017","1,940.00","2,031.00","2,114.00","1,806.00","","0.00%"
"06/01/2017","1,940.00","2,040.00","2,114.00","1,806.00","533.63K","-5.27%"
"05/01/2017","2,048.00","1,828.00","2,088.00","1,772.00","","-0.39%"
"05/01/2017","2,056.00","1,828.00","2,097.00","1,772.00","346.93K","11.68%"
"04/03/2017","1,841.00","2,092.00","2,128.00","1,756.00","","0.00%"
"04/01/2017","1,841.00","2,094.00","2,130.00","1,756.00","475.16K","-12.12%"
"03/01/2017","2,095.00","1,904.00","2,187.00","1,869.00","","-0.14%"
"03/01/2017","2,098.00","1,904.00","2,188.00","1,869.00","360.85K","9.90%"
"02/01/2017","1,909.00","2,098.00","2,150.00","1,890.00","","0.00%"
"02/01/2017","1,909.00","2,097.00","2,146.00","1,890.00","431.20K","-9.22%"
"01/03/2017","2,103.00","2,135.00","2,291.00","2,072.00","","0.05%"
"01/01/2017","2,102.00","2,118.00","2,273.00","2,072.00","198.71K","-1.13%"
"12/01/2016","2,126.00","2,381.00","2,428.00","2,121.00","","0.62%"
"12/01/2016","2,113.00","2,381.00","2,428.00","2,110.00","252.27K","-11.55%"
"11/01/2016","2,389.00","2,720.00","2,769.00","2,358.00","","0.00%"
"11/01/2016","2,389.00","2,640.00","2,677.00","2,358.00","407.91K","-12.65%"
"10/03/2016","2,735.00","2,759.00","2,848.00","2,625.00","","3.48%"
"10/01/2016","2,643.00","2,730.00","2,795.00","2,589.00","277.25K","-4.27%"
"09/01/2016","2,761.00","2,920.00","2,954.00","2,708.00","","0.99%"
"09/01/2016","2,734.00","2,920.00","2,954.00","2,684.00","293.72K","-5.66%"
"08/01/2016","2,898.00","2,822.00","3,120.00","2,818.00","","0.00%"
"08/01/2016","2,898.00","2,842.00","3,120.00","2,828.00","476.08K","2.22%"
"07/01/2016","2,835.00","2,976.00","3,166.00","2,815.00","","-0.39%"
"07/01/2016","2,846.00","2,976.00","3,163.00","2,826.00","286.51K","-3.95%"
"06/01/2016","2,963.00","3,037.00","3,190.00","2,927.00","","0.00%"
"06/01/2016","2,963.00","3,016.00","3,190.00","2,927.00","399.10K","-3.14%"
"05/02/2016","3,059.00","3,220.00","3,240.00","2,884.00","","1.09%"
"05/01/2016","3,026.00","3,220.00","3,240.00","2,896.00","321.48K","-6.40%"
"04/01/2016","3,233.00","2,941.00","3,240.00","2,841.00","","0.00%"
"04/01/2016","3,233.00","2,954.00","3,240.00","2,852.00","418.51K","9.59%"
"03/01/2016","2,950.00","2,943.00","3,148.00","2,895.00","","-0.30%"
"03/01/2016","2,959.00","2,943.00","3,147.00","2,895.00","253.80K","0.14%"
"02/01/2016","2,955.00","2,765.00","2,974.00","2,738.00","","0.00%"
"02/01/2016","2,955.00","2,777.00","2,974.00","2,745.00","427.38K","7.03%"
"01/04/2016","2,761.00","3,214.00","3,219.00","2,731.00","","-0.22%"
"01/01/2016","2,767.00","3,212.00","3,215.00","2,738.00","264.21K","-13.83%"
"12/01/2015","3,211.00","3,344.00","3,429.00","3,176.00","","0.12%"
"12/01/2015","3,207.00","3,344.00","3,429.00","3,173.00","199.29K","-3.95%"
"11/02/2015","3,339.00","3,252.00","3,420.00","3,194.00","","0.00%"
"11/01/2015","3,339.00","3,254.00","3,420.00","3,194.00","392.18K","2.45%"
"10/01/2015","3,259.00","3,120.00","3,262.00","3,026.00","","-0.12%"
"10/01/2015","3,263.00","3,122.00","3,265.00","3,035.00","236.68K","4.78%"
"09/01/2015","3,114.00","3,110.00","3,341.00","3,085.00","","-0.10%"
"09/01/2015","3,117.00","3,110.00","3,327.00","3,085.00","249.21K","0.58%"
"08/03/2015","3,099.00","3,203.00","3,206.00","2,989.00","","0.00%"
"08/01/2015","3,099.00","3,214.00","3,217.00","2,989.00","414.81K","-3.43%"
"07/01/2015","3,209.00","3,246.00","3,386.00","3,164.00","","-0.37%"
"07/01/2015","3,221.00","3,246.00","3,386.00","3,168.00","223.28K","-1.47%"
"06/01/2015","3,269.00","3,090.00","3,338.00","3,050.00","","0.00%"
"06/01/2015","3,269.00","3,081.00","3,338.00","3,046.00","341.50K","5.96%"
"05/01/2015","3,085.00","2,966.00","3,181.00","2,857.00","","0.23%"
"05/01/2015","3,078.00","2,966.00","3,167.00","2,857.00","204.67K","4.59%"
"04/01/2015","2,943.00","2,687.00","2,962.00","2,687.00","","0.00%"
"04/01/2015","2,943.00","2,690.00","2,962.00","2,688.00","364.54K","9.04%"
"03/02/2015","2,699.00","3,007.00","3,038.00","2,679.00","","0.00%"
"03/01/2015","2,699.00","3,007.00","3,038.00","2,682.00","271.89K","-10.51%"
"02/02/2015","3,016.00","2,682.00","3,037.00","2,669.00","","0.00%"
"02/01/2015","3,016.00","2,692.00","3,037.00","2,674.00","345.74K","11.99%"
"01/02/2015","2,693.00","2,917.00","3,016.00","2,682.00","","-0.19%"
"01/01/2015","2,698.00","2,894.00","2,994.00","2,688.00","162.68K","-7.29%"
